Ticker,Date,Moving Average MAE,Naive MAE,Linear Regression MAE,Exponential Smoothing MAE
AAPL,2024-09-20,3.998197937011713,1.0959991455078124,0.6340875074598443,0.8728343920610314
AAPL,2024-10-15,5.042397766113277,1.91199951171875,3.8981497628348167,2.041736524237058
AAPL,2024-10-18,3.149797973632809,2.9199981689453125,4.685497538248694,2.8053120794857933
GOOGL,2024-09-20,3.6589981079101563,1.2719970703125,6.969996134440106,1.038263541176741
GOOGL,2024-10-15,0.9116033935546852,1.3160064697265625,1.62772391183035,1.1383404258663063
GOOGL,2024-10-18,1.0690017700195313,1.1120025634765625,1.041387854682074,1.1135669560998622
MSFT,2024-09-20,2.720198364257817,4.445989990234375,15.472708977593356,4.842868764394064
MSFT,2024-10-15,3.122404174804683,2.805999755859375,4.656574358258934,2.7989659872150923
MSFT,2024-10-18,6.508402709960933,6.594000244140625,6.031998019748255,6.885322366370724
AMZN,2024-09-20,4.610001831054689,1.9279998779296874,3.259444953070749,2.041611971288904
AMZN,2024-10-15,2.4048016357421886,1.1300018310546875,4.468282209123902,1.1298764917436812
AMZN,2024-10-18,1.9909985351562511,1.767999267578125,3.027054935031458,1.705760011503554
